id,age,study_hours,attendance_rate,assignment_score,quiz_score,department,delivery_mode,passed
1,19,12.5,0.91,78,74,CS,Online,1
2,21,9.0,0.85,69,65,IT,OnCampus,1
3,20,15.0,0.97,88,90,DS,Online,1
4,22,6.5,0.72,55,58,SE,Hybrid,0
5,23,8.0,0.80,61,63,CS,OnCampus,0
6,20,11.0,0.89,73,70,IT,Hybrid,1
7,24,4.5,0.60,48,52,DS,Online,0
8,21,13.0,0.95,85,87,CS,Hybrid,1
9,19,7.5,0.78,64,60,SE,OnCampus,0
10,22,10.5,0.88,72,76,IT,Online,1
11,20,14.0,0.96,90,92,DS,Hybrid,1
12,23,5.5,0.67,51,49,CS,OnCampus,0
13,21,9.5,0.83,68,71,SE,Online,1
14,25,3.0,0.55,42,45,IT,Hybrid,0
15,19,16.0,0.99,93,95,CS,OnCampus,1
16,22,8.5,0.81,66,64,DS,Online,1
17,20,,0.90,75,73,IT,Hybrid,1
18,24,6.0,,57,59,SE,OnCampus,0
19,21,12.0,0.93,,84,CS,Online,1
20,23,7.0,0.76,62,,DS,Hybrid,0
21,20,10.0,0.87,71,69,,OnCampus,1
22,22,11.5,0.92,79,81,IT,,1
23,19,5.0,0.70,54,56,SE,Online,0
24,26,2.5,0.50,39,41,CS,Hybrid,0
25,21,13.5,0.94,86,88,DS,OnCampus,1
26,20,8.0,0.79,63,61,IT,Online,0
27,23,9.0,0.84,70,68,CS,Hybrid,1
28,22,14.5,0.98,91,89,SE,OnCampus,1
29,24,4.0,0.62,47,50,DS,Online,0
30,21,10.0,0.86,74,72,IT,Hybrid,1
